"Company Name","Country","Industry","Employee Range","Revenue Range","Time spent","Pages viewed","Domain","Initial Page seen","Campaign","Channel"
"CRMIT Solutions","India","Business Services","100 - 249","$10M - $25M","7s","","crmit.com","www.factors.ai","$none","Organic Search"
"Zendesk","Nepal","Software and Technology","5,000 - 9,999","$1B - $2.5B","7s","","zendesk.com","www.factors.ai","$none","Organic Search"
"Yum Yum Videos","Argentina","Media and Entertainment","20 - 49","$5M - $10M","7s","","yumyumvideos.com","www.factors.ai/blog/b2b-sales-and-marketing-alignment-101-guide","$none","Organic Search"
"Winfo Solutions","India","Business Services","50 - 99","$25M - $50M","7s","","winfosolutions.com","www.factors.ai/blog/top-7-marketing-attribution-tools","$none","Organic Search"
"Amber Group Limited","United States","Software and Technology","100 - 249","$1M - $5M","7s","","myambergroup.com","www.factors.ai","$none","Direct"
"InstaAstro","India","Consumer Goods and Services","20 - 49","$1M - $5M","7s","","instaastro.com","app.factors.ai/login","$none","Direct"
"Airmeet","India","Software and Technology","250 - 499","$50M - $100M","7s","","airmeet.com","app.factors.ai/activate","$none","Organic Search"
"WideOpenWest, Inc.","India","Telecommunications","0 - 9","$1 - $1M","7s","","wowway.com","www.factors.ai","$none","Direct"
"Simplilearn","India","Education","1,000 - 4,999","$250M - $500M","7s","","simplilearn.net","factor-ai.webflow.io/pricing","$none","Business Tools"
"Flam","India","Software and Technology","20 - 49","$1M - $5M","7s","","flamapp.com","www.factors.ai/versus/albacross","$none","Direct"
"Siparadigm","Pakistan","Healthcare and Medical","100 - 249","$25M - $50M","7s","","siparadigm.com","www.factors.ai/lp/deanonymization","TDD_RMK","Paid Social"
"Mastercard Incorporated","India","Financial Services","10,000+","$5B+","7s","","mastercard.com","www.factors.ai","$none","Direct"
"Fonoa","Turkey","Software and Technology","100 - 249","$10M - $25M","7s","","fonoa.com","www.factors.ai/blog/dreamdata-alternatives","$none","Organic Search"
"Livescale","Canada","Software and Technology","10 - 19","$1M - $5M","7s","","livescale.tv","app.factors.ai","$none","Direct"
"Jarvis Cutting Tools","United States","Manufacturing","50 - 99","$10M - $25M","7s","","jarviscuttingtools.com","app.factors.ai","$none","Direct"
"NTT Data","India","Software and Technology","0 - 9","$1M - $5M","7s","","nttdata.com","www.factors.ai","$none","Direct"
"Dreamdata","Denmark","Software and Technology","20 - 49","$1M - $5M","7s","","dreamdata.io","www.factors.ai","$none","Direct"
"Rubrik","India","Software and Technology","1,000 - 4,999","$250M - $500M","7s","","rubrik.com","www.factors.ai","$none","Direct"
"Sasi Institute Of Technology & Engineering","India","Education","100 - 249","$50M - $100M","7s","","sasi.ac.in","www.factors.ai","$none","Direct"
"Expedia Group, Inc.","India","Hospitality and Travel","10,000+","$5B+","7s","","expediagroup.com","www.factors.ai","$none","Direct"
"BRIZ","Ukraine","Telecommunications","20 - 49","$1 - $1M","7s","","briz.ua","app.factors.ai","$none","Direct"
"Skiff","India","Media and Entertainment","50 - 99","$10M - $25M","7s","","skiff.com","www.factors.ai/blog/hockeystack-alternatives","$none","Organic Search"
"Horizon Media","United States","Business Services","1,000 - 4,999","$500M - $1B","7s","","horizonmedia.com","www.factors.ai/blog/visitor-identification-software","$none","Organic Search"
"Irembo","Rwanda","Business Services","100 - 249","$10M - $25M","7s","","irembo.com","www.factors.ai/blog/zoominfo-pricing","$none","Direct"
"Temple University","United States","Education","5,000 - 9,999","$2.5B - $5B","7s","","temple.edu","www.factors.ai","$none","Direct"
"Antz AI","India","Business Services","10 - 19","$1 - $1M","7s","","antz.ai","www.factors.ai/blog/what-is-revenue-attribution","$none","Organic Search"
"TRESCA","Spain","Business Services","20 - 49","$1M - $5M","7s","","tresca.es","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"STOWELL, ZEILENGA, RUTH, VAUGHN & TREIGER, LLP","United States","Business Services","10 - 19","$1M - $5M","7s","","szrlaw.com","www.factors.ai/blog/account-based-marketing-vs-demand-generation","$none","Organic Search"
"PRI Global","India","Business Services","100 - 249","$50M - $100M","7s","","priglobal.com","www.factors.ai","$none","Direct"
"Henley Business School","South Africa","Education","100 - 249","$50M - $100M","7s","","henleysa.ac.za","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"Citi","Philippines","Financial Services","10,000+","$5B+","7s","","citi.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"DataDome","France","Software and Technology","100 - 249","$25M - $50M","7s","","datadome.co","www.factors.ai/blog/sales-territory","$none","Organic Search"
"Central University Of Karnataka","India","Education","10 - 19","$1M - $5M","7s","","cuk.ac.in","app.factors.ai","$none","Direct"
"Agilysys","India","Software and Technology","1,000 - 4,999","$100M - $250M","7s","","agilysys.com","www.factors.ai","$none","Direct"
"Coop Sociale Maria Consolatrice Siglabile Maria Consolatrice Coop Sociale","Italy","Education","20 - 49","$1M - $5M","7s","","scuolareginamundi.it","www.factors.ai/pricing","$none","Direct"
"Bag Smiths Paper Products Pvt. Ltd. - India","India","Manufacturing","10 - 19","$1 - $1M","7s","","thebagsmiths.com","www.factors.ai","$none","Direct"
"LiveAction","United States","Software and Technology","100 - 249","$50M - $100M","7s","","liveaction.com","staging-app.factors.ai/login","$none","Direct"
"E L MUSTEE & SONS INC","United States","Manufacturing","50 - 99","$10M - $25M","7s","","mustee.com","www.factors.ai/versus/lead-forensics","TD_Search_US_Deanon_Competition_Others","Paid Search"
"Innovatif","Slovenia","Business Services","20 - 49","$5M - $10M","7s","","innovatif.com","www.factors.ai/blog/what-is-account-based-marketing-abm","$none","Referral"
"Intelliswift Software, Inc.","India","Software and Technology","1,000 - 4,999","$50M - $100M","7s","","intelliswift.com","www.factors.ai/product/attribution","$none","Organic Search"
"Experian plc","United States","Financial Services","10,000+","$5B+","7s","","experian.com","www.factors.ai/blog/marketing-attribution-guide","$none","Organic Search"
"Hack","India","Media and Entertainment","100 - 249","$25M - $50M","7s","","hacklang.org","www.factors.ai/blog/sales-territory","$none","Organic Search"
"University Of North Carolina At Pembroke","United States","Education","500 - 999","$250M - $500M","7s","","uncp.edu","www.factors.ai/versus/canddi","TD_Search_US_Deanon_Competition_Others","Paid Search"
"National Institute Of Technology Hamirpur","India","Education","250 - 499","$250M - $500M","6s","","nith.ac.in","www.factors.ai/blog/customer-acquisition-cost","$none","Direct"
"Hochschule Augsburg","Germany","Education","250 - 499","$50M - $100M","6s","","hs-augsburg.de","www.factors.ai/blog/stages-of-the-customer-journey","$none","Direct"
"Wateen Telecom","Pakistan","Telecommunications","1,000 - 4,999","$500M - $1B","6s","","wateen.com","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"Sify Technologies","India","Software and Technology","1,000 - 4,999","$500M - $1B","6s","","sifytechnologies.com","www.factors.ai","$none","Direct"
"MarketYze","Israel","Software and Technology","20 - 49","$5M - $10M","6s","","marketyze.com","www.factors.ai/blog/account-scoring-guide","$none","Organic Search"
"GALE","Canada","Business Services","500 - 999","$250M - $500M","6s","","gale.agency","www.factors.ai/customers","$none","Direct"
"Digivizer","Australia","Software and Technology","50 - 99","$10M - $25M","6s","","digivizer.com","www.factors.ai/blog/types-of-attribution-models","$none","Organic Search"
"Vircom","Canada","Software and Technology","20 - 49","$1M - $5M","6s","","vircom.com","www.factors.ai/versus/leadfeeder","TD_Search_Remarketing_Competitors","Paid Search"
"Sellers Commerce","India","Software and Technology","20 - 49","$1M - $5M","6s","","sellerscommerce.com","www.factors.ai","$none","Direct"
"Vigocare","India","Business Services","20 - 49","$1M - $5M","6s","","vigocare.com","www.factors.ai/versus/dealfront","TD_Search_India_Deanon_Competition","Paid Search"
"IIT Bhubaneswar","India","Education","250 - 499","$50M - $100M","6s","","iitbbs.ac.in","www.factors.ai/blog/sales-territory","$none","Organic Search"
"Superchat","Germany","Software and Technology","10 - 19","$1M - $5M","6s","","superchat.de","www.factors.ai/blog/intent-data-for-pipeline-part-1","$none","Organic Search"
"Smart ERP Solutions","India","Software and Technology","250 - 499","$50M - $100M","6s","","smarterp.com","app.factors.ai","$none","Direct"
"Grow","India","Software and Technology","50 - 99","$5M - $10M","6s","","grow.com","www.factors.ai/blog/account-based-marketing-team-structure","$none","Organic Search"
"Sequretek","India","Software and Technology","100 - 249","$10M - $25M","6s","","sequretek.com","www.factors.ai","$none","Direct"
"RE/MAX","United States","Real Estate","500 - 999","$100M - $250M","6s","","remax.net","www.factors.ai/blog/attribution-reporting-what-you-can-learn-from-marketing-attribution-reports","$none","Organic Search"
"University Of Kelaniya","Sri Lanka","Education","1,000 - 4,999","$500M - $1B","6s","","kln.ac.lk","www.factors.ai","$none","Direct"
"Almshouse Association","United Kingdom","Associations","10 - 19","$1M - $5M","6s","","almshouses.org","www.factors.ai/promo","$none","Direct"
"Logitech International SA","United States","Hardware","5,000 - 9,999","$2.5B - $5B","6s","","logitech.com","www.factors.ai/blog/revenue-forecasting-models","$none","Organic Search"
"Capricot Technologies Pvt Ltd","India","Software and Technology","250 - 499","$100M - $250M","6s","","capricot.com","www.factors.ai","$none","Organic Search"
"TraceLink","United States","Software and Technology","500 - 999","$100M - $250M","6s","","tracelink.com","www.factors.ai","$none","Direct"
"Sanstonz","Nigeria","Software and Technology","20 - 49","$1M - $5M","6s","","sanstonz.com","www.factors.ai","$none","Organic Search"
"Bain & Company Inc","United States","Business Services","10,000+","$5B+","6s","","bain.com","www.factors.ai/blog/customer-acquisition-cost","$none","Organic Search"
"Bell Socialization Services","United States","Business Services","250 - 499","$10M - $25M","6s","","bellsocialization.com","www.factors.ai/promo","$none","Direct"
"Embitel Technologies","India","Business Services","100 - 249","$50M - $100M","6s","","embitel.com","www.factors.ai/blog/tested-ways-to-generate-b2b-leads","$none","Organic Search"
"Monarch Innovation Pvt Ltd","India","Software and Technology","20 - 49","$5M - $10M","6s","","monarch-innovation.com","www.factors.ai/versus/albacross","TD_Search_India_Deanon_Competition","Paid Search"
"Inclusive Technology","United Kingdom","Software and Technology","20 - 49","$10M - $25M","6s","","inclusive.co.uk","www.factors.ai/versus/leadfeeder","TD_Search_ROW_Deanon_Competition","Paid Search"
"Microassist","United States","Software and Technology","20 - 49","$5M - $10M","6s","","microassist.com","www.factors.ai/lp/deanonymization","TDD US_Deanon_Generic","Paid Search"
"Hexion, Inc.","India","Manufacturing","1,000 - 4,999","$2.5B - $5B","6s","","hexion.com","app.factors.ai","$none","Direct"
"DWP INTERICS","India","Construction","20 - 49","$1M - $5M","6s","","dwpinterics.com","app.factors.ai/login","$none","Direct"
"Essel Group","India","Media and Entertainment","10,000+","$500M - $1B","6s","","esselgroup.com","www.factors.ai/pricing","$none","Direct"
"CRISP","India","Education","100 - 249","$25M - $50M","6s","","crispindia.com","www.factors.ai/lp/deanonymization","TDD US_Deanon_Generic","Paid Search"
"Andava Digital Marketing Agency","Armenia","Business Services","20 - 49","$1M - $5M","6s","","andava.com","www.factors.ai/blog/guide-to-account-based-selling","$none","Direct"
"AOL","India","Software and Technology","10,000+","$500M - $1B","6s","","aol.in","www.factors.ai","$none","Direct"
"CoBank","United States","Financial Services","1,000 - 4,999","$1B - $2.5B","6s","","cobank.com","app.factors.ai/login","$none","Direct"
"Allstate Corporation","United States","Financial Services","10,000+","$5B+","6s","","allstate.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"Xyloinc","India","$none","50 - 99","$none","6s","","xyloinc.com","app.factors.ai","$none","Direct"
"Descope","United States","Software and Technology","20 - 49","$5M - $10M","6s","","descope.com","app.factors.ai/login","$none","Direct"
"Criterion Networks","India","Software and Technology","20 - 49","$1M - $5M","6s","","criterionnetworks.com","www.factors.ai/blog/sales-territory","$none","Organic Search"
"kombai.io","India","Software and Technology","10 - 19","$50M - $100M","6s","","kombai.io","www.factors.ai","$none","Direct"
"Adastra","Canada","Software and Technology","1,000 - 4,999","$250M - $500M","6s","","adastragrp.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"Lightspeed","Canada","Software and Technology","1,000 - 4,999","$500M - $1B","6s","","lightspeedhq.com","www.factors.ai/lp/deanonymization","TDD_RMK","Paid Social"
"G. H. Raisoni College Of Engineering","India","Education","500 - 999","$100M - $250M","6s","","raisoni.net","www.factors.ai/blog/google-search-marketing-in-2022-keyword-matching","$none","Organic Search"
"EXCLUSIVE NETWORKS","Indonesia","Software and Technology","1,000 - 4,999","$250M - $500M","6s","","exclusive-networks.com","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"CreditRegistry","Nigeria","Financial Services","20 - 49","$1M - $5M","6s","","creditregistry.ng","www.factors.ai","$none","Organic Search"
"Jetpack Workflow","United States","Software and Technology","20 - 49","$1M - $5M","6s","","jetpackworkflow.com","www.factors.ai/versus/clearbit","TD_Search_US_Deanon_Competition_Others","Paid Search"
"Supply Wisdom","India","Software and Technology","50 - 99","$5M - $10M","6s","","supplywisdom.com","www.factors.ai","$none","Direct"
"Globant","Brazil","Business Services","10,000+","$1B - $2.5B","6s","","globant.com","www.factors.ai","$none","Direct"
"The Naked Heart Foundation","United States","Government","10 - 19","$1M - $5M","6s","","nakedheart.org","www.factors.ai","$none","Direct"
"Royal Dutch Shell Group","India","Energy and Utilities","10,000+","$5B+","6s","","shell.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"LimeChat","India","Software and Technology","50 - 99","$1M - $5M","6s","","limechat.ai","www.factors.ai","$none","Direct"
"HPG Consulting","India","Hospitality and Travel","100 - 249","$50M - $100M","6s","","hpgconsulting.com","www.factors.ai/pricing","$none","Direct"
"Lucas Fox","Spain","Real Estate","100 - 249","$10M - $25M","6s","","lucasfox.com","app.factors.ai/activate","$none","Direct"
"FCI","India","Software and Technology","500 - 999","$100M - $250M","6s","","fci-ccm.com","www.factors.ai/versus/leadfeeder","TD_Search_India_Deanon_Competition","Paid Search"
"StoneX Group, Inc.","India","Financial Services","1,000 - 4,999","$5B+","6s","","stonex.com","www.factors.ai/blog/predictive-analytics-in-marketing","$none","Organic Search"
"UNIVERSITY OF ATHENS","Greece","Education","1,000 - 4,999","$500M - $1B","6s","","uoa.gr","www.factors.ai","$none","Direct"
"Ellora Infotech","India","Automotive","50 - 99","$1 - $1M","6s","","ellorainfotech.com","app.factors.ai","$none","Direct"
"Flexydial","India","Software and Technology","100 - 249","$100M - $250M","6s","","flexydial.com","www.factors.ai","$none","Direct"
"Maruti Techlabs","India","Software and Technology","100 - 249","$1M - $5M","6s","","marutitech.com","app.factors.ai/login","$none","Direct"
"Bible League International","India","Associations","100 - 249","$10M - $25M","5s","","bibleleague.org","www.factors.ai","$none","Direct"
"Telus Corporation","Canada","Telecommunications","1,000 - 4,999","$5B+","5s","","telus.com","www.factors.ai/solutions/marketing","$none","Direct"
"Redington","India","Software and Technology","1,000 - 4,999","$5B+","5s","","redingtongroup.com","www.factors.ai","$none","Organic Search"
"Soft Intelligent Machines","Nigeria","Software and Technology","20 - 49","$1M - $5M","5s","","softintelligentmachines.com","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"Teradata Corporation","United States","Software and Technology","10,000+","$1B - $2.5B","5s","","teradata.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"MWW Group","United States","Business Services","250 - 499","$50M - $100M","5s","","mww.com","www.factors.ai/blog/cmo-responsibilities","$none","Organic Search"
"Chainalysis","Singapore","Software and Technology","500 - 999","$100M - $250M","5s","","chainalysis.com","www.factors.ai/blog/sales-territory","$none","Organic Search"
"MINDLABS SYSTEMS Pvt Ltd","India","Software and Technology","10 - 19","$1M - $5M","5s","","mindlabssys.com","www.factors.ai","$none","Direct"
"GARENA ONLINE","Thailand","Software and Technology","1,000 - 4,999","$100M - $250M","5s","","garena.co.th","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"Bentley University","United States","Education","1,000 - 4,999","$100M - $250M","5s","","bentley.edu","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"IIT Delhi","India","Education","1,000 - 4,999","$100M - $250M","5s","","iitd.ac.in","www.factors.ai","$none","Direct"
"CONALTURA","Colombia","Construction","250 - 499","$50M - $100M","5s","","conaltura.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"2iSolutions Inc.","India","Business Services","50 - 99","$5M - $10M","5s","","2isolutions.com","www.factors.ai","$none","Direct"
"TAKGroup Of Companies","Malaysia","Construction","10 - 19","$1M - $5M","5s","","takgroup.com","www.factors.ai/blog/top-7-marketing-attribution-tools","$none","Organic Search"
"First Community Bank","United States","Financial Services","500 - 999","$250M - $500M","5s","","firstcommunitybank.com","www.factors.ai/blog/NnNlbnNlLW","$none","Direct"
"Aalto University","Finland","Education","1,000 - 4,999","$250M - $500M","5s","","aalto.fi","app.factors.ai","$none","Referral"
"Smart IMS","India","Business Services","250 - 499","$100M - $250M","5s","","smartims.com","www.factors.ai/blog/types-of-attribution-models","$none","Organic Search"
"Mindtree","India","Software and Technology","10,000+","$1B - $2.5B","5s","","mindtree.com","app.factors.ai/analyse","$none","Direct"
"MagTapp Technologies","India","Software and Technology","50 - 99","$5M - $10M","5s","","magtapp.com","www.factors.ai/blog/sales-territory","$none","Organic Search"
"Obvious","India","Business Services","20 - 49","$50M - $100M","5s","","obvious.in","www.factors.ai","$none","Direct"
"Lastmile Retail","United States","Retail and Distribution","10 - 19","$1M - $5M","5s","","lastmileretail.com","www.factors.ai/versus/leadfeeder#1","TD_Search_US_Deanon_Competition","Paid Search"
"Chanel S.A.","India","Retail and Distribution","10,000+","$5B+","5s","","chanel.com","www.factors.ai","$none","Organic Search"
"Matellio","India","Software and Technology","100 - 249","$10M - $25M","5s","","matellio.com","www.factors.ai/promo","$none","Direct"
"Digitivy","United States","Business Services","10 - 19","$1M - $5M","5s","","digitivy.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"Qweqwe","Russia","Software and Technology","20 - 49","$none","5s","","eqwe.com","www.factors.ai/blog/revenue-forecasting-models","$none","Referral"
"VIA University College","Denmark","Education","1,000 - 4,999","$100M - $250M","5s","","via.dk","www.factors.ai/blog/leadfeeder-alternatives","$none","Organic Search"
"Ulam Labs","Poland","Software and Technology","20 - 49","$1M - $5M","5s","","ulam.io","www.factors.ai/blog/abm-metrics-to-measure-campaign-success","$none","Organic Search"
"CloudQuery","United States","Software and Technology","10 - 19","$1M - $5M","5s","","cloudquery.io","www.factors.ai","$none","Direct"
"Telkomsel","Indonesia","Telecommunications","5,000 - 9,999","$100M - $250M","5s","","telkomsel.co.id","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"Fusion5","New Zealand","Software and Technology","250 - 499","$50M - $100M","5s","","fusion5.co.nz","www.factors.ai/blog/intent-to-insight-optimizing-demo-conversions","$none","Organic Search"
"Arizton - Advisory & Intelligence","India","Business Services","50 - 99","$5M - $10M","5s","","arizton.com","www.factors.ai","$none","Direct"
"Ck","India","Education","100 - 249","$1M - $5M","5s","","ifrseacademy.com","www.factors.ai/blog/sales-territory","$none","Direct"
"Quoizel","United States","Manufacturing","100 - 249","$25M - $50M","5s","","quoizel.com","www.factors.ai","$none","Direct"
"Terraeagle","India","Software and Technology","10 - 19","$1M - $5M","5s","","terraeagle.com","www.factors.ai/blog/content-marketing-trends-local-seo","$none","Direct"
"Technociate Solutions","India","Business Services","10 - 19","$1M - $5M","5s","","technociate.in","www.factors.ai","$none","Direct"
"Myrp","Brazil","Software and Technology","50 - 99","$1M - $5M","5s","","myrp.com.br","www.factors.ai/blog/leadfeeder-alternatives","$none","Direct"
"Qlik","India","Software and Technology","1,000 - 4,999","$500M - $1B","5s","","qlik.com","www.factors.ai","$none","Direct"
"Vesco Foods","Australia","Food and Beverage","100 - 249","$25M - $50M","5s","","vescofoods.com.au","www.factors.ai/promo","$none","Direct"
"Institute For Art & Culture","Pakistan","Education","1,000 - 4,999","$10M - $25M","5s","","iac.edu.pk","app.factors.ai/login","$none","Direct"
"Premier Parking","United States","Consumer Goods and Services","1,000 - 4,999","$250M - $500M","5s","","premierparking.com","www.factors.ai/versus/lead-forensics","TD_Search_US_Deanon_Competition_Others","Paid Search"
"Nimble Accounting","India","Financial Services","100 - 249","$25M - $50M","5s","","nimbleaccounting.com","www.factors.ai/blog","$none","Direct"
"Crest Infosystems Pvt","India","Software and Technology","100 - 249","$5M - $10M","5s","","crestinfosystems.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"ProcDNA","United States","Business Services","20 - 49","$1M - $5M","5s","","procdna.com","www.factors.ai/versus/clearbit","TD_Search_Remarketing_Competitors","Paid Search"
"Eurécia","France","Software and Technology","50 - 99","$10M - $25M","5s","","eurecia.com","www.factors.ai/blog/customer-acquisition-cost","$none","Organic Search"
"VITA","Singapore","Business Services","10 - 19","$1M - $5M","5s","","vitaverify.me","www.factors.ai/blog/what-is-heap-analytics-heap-io-overview","$none","Organic Search"
"JM Search","United States","Business Services","100 - 249","$50M - $100M","5s","","jmsearch.com","www.factors.ai/blog/account-scoring-guide","$none","Organic Search"
"LatentView Analytics","India","Business Services","500 - 999","$100M - $250M","5s","","latentview.com","www.factors.ai","$none","Direct"
"Open Text Corporation","India","Software and Technology","10,000+","$2.5B - $5B","5s","","opentext.com","www.factors.ai/blog/top-7-marketing-attribution-tools","$none","Organic Search"
"NOVA DESIGN","Taiwan","Business Services","50 - 99","$5M - $10M","5s","","e-novadesign.com","www.factors.ai/blog/what-is-account-based-marketing-abm","$none","Referral"
"UCLA","Taiwan","Education","10,000+","$500M - $1B","5s","","g.ucla.edu","www.factors.ai/blog/customer-engagement-metrics","$none","Direct"
"Temeka Group","United States","Retail and Distribution","50 - 99","$10M - $25M","5s","","temekagroup.com","www.factors.ai/blog/top-warmly-ai-alternatives","$none","Organic Search"
"MaxVal Group","India","Software and Technology","250 - 499","$25M - $50M","5s","","maxval.com","www.factors.ai/blog/google-search-marketing-in-2022-keyword-matching","$none","Organic Search"
"Rodeo Digital","India","Software and Technology","20 - 49","$1M - $5M","5s","","rodeodigital.com","www.factors.ai","$none","Direct"
"Singh","India","Manufacturing","20 - 49","$1M - $5M","5s","","singhcorp.co.in","www.factors.ai","$none","Direct"
"WE SHINE TECH PVT. LTD","India","Education","20 - 49","$1M - $5M","5s","","weshinetech.in","www.factors.ai/versus/leadfeeder","TD_Search_India_Deanon_Competition","Paid Search"
"SleekFlow","People's Republic of China","Software and Technology","50 - 99","$5M - $10M","5s","","sleekflow.io","www.factors.ai","$none","Direct"
"Appodeal","Philippines","Software and Technology","100 - 249","$10M - $25M","5s","","appodeal.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"SEA - BIRD Refrigeration Pvt","India","Manufacturing","10 - 19","$1M - $5M","5s","","amoking.com","www.factors.ai","$none","Direct"
"F&M Bank","United States","Financial Services","250 - 499","$10M - $25M","5s","","myfmbank.com","www.factors.ai/blog/zoominfo-pricing","$none","Direct"
"Murray Uniforms","United Kingdom","Retail and Distribution","20 - 49","$50M - $100M","5s","","murrayuniforms.com","www.factors.ai","$none","Direct"
"Infosys","India","Business Services","10,000+","$5B+","5s","","infosys.com","www.factors.ai/terms-of-use","$none","Direct"
"OFPPT","Morocco","Education","1,000 - 4,999","$100M - $250M","5s","","ofppt.ma","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"Monarch","United States","Healthcare and Medical","1,000 - 4,999","$100M - $250M","5s","","monarchnc.org","www.factors.ai","$none","Direct"
"Van Hien University","Vietnam","Education","100 - 249","$25M - $50M","5s","","vhu.edu.vn","www.factors.ai/lp/deanonymization","TDD_RMK","Paid Social"
"Affiliated Computer Services","India","Business Services","20 - 49","$5M - $10M","5s","","acs.com","www.factors.ai","$none","Direct"
"ALLCARE","Philippines","Consumer Goods and Services","10 - 19","$1 - $1M","5s","","allcare.ph","www.factors.ai/blog/pipeline-velocity","$none","Organic Search"
"LeadSquared","India","Software and Technology","250 - 499","$50M - $100M","5s","","leadsquared.com","www.factors.ai/blog/sales-intelligence-tools","$none","Direct"
"Essia","Brazil","Software and Technology","50 - 99","$1M - $5M","5s","","essia.com","www.factors.ai","$none","Organic Search"
"West Virginia University","United States","Education","10,000+","$500M - $1B","5s","","mix.wvu.edu","www.factors.ai/blog/stages-of-the-customer-journey","$none","Direct"
"IQ INNOVATION HUB LLP","India","Software and Technology","20 - 49","$1M - $5M","5s","","iqdigi.com","www.factors.ai","$none","Direct"
"EZOPS","India","Financial Services","20 - 49","$10M - $25M","5s","","ezops.com","www.factors.ai","$none","Direct"
"Silgan Containers","United States","Manufacturing","1,000 - 4,999","$1B - $2.5B","5s","","silgancontainers.com","www.factors.ai","$none","Direct"
"Botsplash","United States","Software and Technology","20 - 49","$1M - $5M","5s","","botsplash.com","www.factors.ai","$none","Direct"
"Metta Social","India","Software and Technology","20 - 49","$1M - $5M","5s","","mettasocial.com","app.factors.ai/login","$none","Direct"
"INNOVATIVE CONSULTANTS LLC","India","Software and Technology","20 - 49","$1M - $5M","5s","","consult-ic.com","www.factors.ai/blog/customer-acquisition-cost","$none","Organic Search"
"BlackBerry Ltd","United States","Software and Technology","1,000 - 4,999","$500M - $1B","5s","","blackberry.com","www.factors.ai/blog/stages-of-the-customer-journey","$none","Direct"
"St Joseph College","India","Education","20 - 49","$2.5B - $5B","5s","","onmicrosoft.in","app.factors.ai/reports","$none","Direct"
"Skillsoft","India","Software and Technology","1,000 - 4,999","$500M - $1B","5s","","skillsoft.com","www.factors.ai/pricing","$none","Direct"
"Growth Natives","India","Business Services","50 - 99","$10M - $25M","5s","","growthnatives.com","www.factors.ai/blog/what-is-heap-analytics-heap-io-overview","$none","Direct"
"Boostr","United States","Software and Technology","50 - 99","$1M - $5M","5s","","boostr.com","app.factors.ai","$none","Direct"
"Emgage","United States","Software and Technology","20 - 49","$10M - $25M","5s","","emgage.com","www.factors.ai/versus/clearbit","TD_Search_Remarketing_Competitors","Paid Search"
"Sonary","India","Business Services","20 - 49","$1M - $5M","5s","","hi2.in","www.factors.ai/blog/zoominfo-pricing","$none","Direct"
"Rishabh Software","India","Software and Technology","500 - 999","$100M - $250M","5s","","rishabhsoft.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"Aquila I","India","Software and Technology","20 - 49","$1 - $1M","5s","","aquilai.io","app.factors.ai/login","$none","Direct"
"US Group","Pakistan","Apparel","100 - 249","$10M - $25M","5s","","usgroup.org","app.factors.ai/login","$none","Direct"
"Hogeschool Utrecht","Netherlands","Education","1,000 - 4,999","$500M - $1B","5s","","hu.nl","www.factors.ai","$none","Direct"
"Viskefi Studios","India","Media and Entertainment","50 - 99","$1M - $5M","5s","","viskefi.com","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"Architectural Association","United Kingdom","Education","100 - 249","$10M - $25M","5s","","aaschool.ac.uk","www.factors.ai/competitors/leadfeeder","TD_Search_ROW_Deanon_Competition","Paid Search"
"Globsyn Business School","India","Education","100 - 249","$10M - $25M","5s","","globsyn.edu.in","www.factors.ai/lp/deanonymization","ABM_Competitor_Leadgen","Other Campaigns"
"GOVERNMENT ENGINEERING COLLEGE WAYANAD","India","Education","500 - 999","$10M - $25M","5s","","gecwyd.ac.in","www.factors.ai/blog/marketing-touchpoints-to-guide-demo-bookings","$none","Direct"
"General Atlantic","United States","Financial Services","250 - 499","$100M - $250M","5s","","generalatlantic.com","www.factors.ai/blog/attribution-reporting-what-you-can-learn-from-marketing-attribution-reports","$none","Organic Search"
"Genex Realty","India","Business Services","250 - 499","$25M - $50M","5s","","yourdomin.com","www.factors.ai/pricing","$none","Direct"
"ThrivePass","India","Software and Technology","20 - 49","$5M - $10M","5s","","thrivepass.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"Mailmodo","India","Business Services","50 - 99","$1M - $5M","5s","","mailmodo.com","www.factors.ai","$none","Direct"
