"Company Name","Country","Industry","Employee Range","Revenue Range","Time spent","Pages viewed","Domain","Initial Page seen","Campaign","Channel"
"TCPL Packaging","India","Manufacturing","1,000 - 4,999","$250M - $500M","1m 53s","","tcpl.in","factors-dev.com:3000","$none","Direct"
"The Global Associates","India","Business Services","100 - 249","$10M - $25M","1m 40s","","theglobalassociates.com","www.factors.ai","$none","Direct"
"HOSTiQ.ua","Ukraine","Software and Technology","100 - 249","$1M - $5M","1m 38s","","hostiq.ua","www.factors.ai","$none","Direct"
"Nirma University","India","Education","1,000 - 4,999","$100M - $250M","1m 35s","","nirmauni.ac.in","www.factors.ai","$none","Direct"
"H2O.ai","India","Software and Technology","100 - 249","$50M - $100M","1m 31s","","h2o.ai","www.factors.ai","$none","Direct"
"LambdaTest","India","Software and Technology","250 - 499","$50M - $100M","1m 31s","","lambdatest.com","app.factors.ai","$none","Direct"
"Cloudelligent","Pakistan","Business Services","10 - 19","$1M - $5M","1m 31s","","cloudelligent.com","app.factors.ai","$none","Direct"
"Mu Sigma","India","Business Services","1,000 - 4,999","$500M - $1B","1m 29s","","mu-sigma.com","www.factors.ai/labs/do-leads-revisit-your-website-after-a-demo","$none","Organic Search"
"Raiffeisen Bank Russia","Russia","Financial Services","1,000 - 4,999","$100M - $250M","1m 27s","","raiffeisen.ru","www.factors.ai/blog/amplitude-alternatives","$none","Organic Search"
"IES UNIVERSITY BHOPAL","India","Education","100 - 249","$1M - $5M","1m 25s","","iesuniversity.ac.in","www.factors.ai/pricing","$none","Direct"
"Vestas Wind Systems A/S","India","Manufacturing","10,000+","$5B+","1m 24s","","vestas.com","www.factors.ai/pricing","$none","Direct"
"Columbia University","India","Education","10,000+","$5B+","1m 20s","","columbia.edu","app.factors.ai","$none","Referral"
"BrainCert","India","Education","20 - 49","$10M - $25M","1m 10s","","braincert.com","www.factors.ai","$none","Referral"
"Delhivery","India","Transportation and Logistics","10,000+","$500M - $1B","1m 10s","","delhivery.com","www.factors.ai","$none","Referral"
"StratMg","United States","Business Services","10 - 19","$10M - $25M","1m 9s","","stratmg.com","www.factors.ai/versus/lead-forensics","TD_Search_US_Deanon_Competition_Others","Paid Search"
"DVA Structural Consultants","India","Manufacturing","10 - 19","$1M - $5M","1m 7s","","dvastruct.co.in","www.factors.ai","$none","Referral"
"Jigsaw","United Kingdom","Telecommunications","20 - 49","$1M - $5M","1m 6s","","jigsaw.co","www.factors.ai","$none","Direct"
"Blusteak Media","India","Media and Entertainment","50 - 99","$1M - $5M","1m 6s","","blusteak.com","app.factors.ai/profiles/people/bWFub2ouYmhhbWlkaXBhdGlAYXV0b2Rlc2suY29t","$none","Direct"
"Fullview","United States","Software and Technology","10 - 19","$1M - $5M","1m 2s","","fullview.io","www.factors.ai","$none","Direct"
"Klenty","India","Software and Technology","100 - 249","$1M - $5M","59s","","klenty.com","app.factors.ai","$none","Direct"
"Deloitte","India","Business Services","10,000+","$5B+","58s","","deloitte.com","www.factors.ai","$none","Direct"
"OMNISITY LIMITED","United Kingdom","Business Services","10 - 19","$1M - $5M","58s","","omnisity.com","app.factors.ai","$none","Direct"
"INFINA Finance Pvt Ltd","India","Financial Services","20 - 49","$5M - $10M","58s","","infina.in","www.factors.ai","$none","Organic Search"
"Ruul","Turkey","Financial Services","20 - 49","$1M - $5M","57s","","ruul.io","www.factors.ai","$none","Organic Search"
"Aspirion","United States","Financial Services","250 - 499","$50M - $100M","56s","","aspirion.com","app.factors.ai/profiles/people","$none","Direct"
"KPMG","India","Financial Services","10,000+","$5B+","56s","","home.kpmg","www.factors.ai","$none","Direct"
"Cygnet Infotech","India","Software and Technology","1,000 - 4,999","$100M - $250M","55s","","cygnet-infotech.com","www.factors.ai","$none","Direct"
"Toptal","India","Software and Technology","1,000 - 4,999","$100M - $250M","51s","","toptal.com","www.factors.ai/versus/leadfeeder","TD_Search_India_Deanon_Competition","Paid Search"
"DCM Shriram","India","Manufacturing","5,000 - 9,999","$1B - $2.5B","50s","","dcmshriram.com","www.factors.ai","$none","Direct"
"FINE","United States","Business Services","50 - 99","$5M - $10M","50s","","wearefine.com","www.factors.ai","$none","Organic Search"
"Automation Anywhere","India","Software and Technology","1,000 - 4,999","$250M - $500M","49s","","automationanywhere.com","app.factors.ai/configure/alerts","$none","Direct"
"NextBillion.ai","India","Software and Technology","20 - 49","$5M - $10M","49s","","nextbillion.ai","app.factors.ai/reports","$none","Direct"
"North American POS","United States","Software and Technology","20 - 49","$none","46s","","northamericanpos.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"Squadcast","India","Software and Technology","20 - 49","$5M - $10M","46s","","squadcast.com","www.factors.ai","$none","Direct"
"RateGain","India","Software and Technology","500 - 999","$100M - $250M","43s","","rategain.com","www.factors.ai","$none","Direct"
"Conneqt Business Solutions Limited","India","Business Services","10,000+","$100M - $250M","43s","","conneqtcorp.com","www.factors.ai/blog/zoominfo-pricing","$none","Organic Search"
"ING Groep NV","Australia","Financial Services","10,000+","$5B+","43s","","ing.com","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"UniPin","Indonesia","Software and Technology","100 - 249","$5M - $10M","42s","","unipin.com","www.factors.ai","$none","Direct"
"Mahwah Bergen Retail Group (fmr Ascena Retail Group)","India","Retail and Distribution","10,000+","$5B+","41s","","ascenaretail.com","www.factors.ai","$none","Referral"
"Tata Communications Ltd","India","Telecommunications","10,000+","$1B - $2.5B","40s","","tatacommunications.com","app.factors.ai/login","$none","Direct"
"REMUNANCE SYSTEMS PVT LTD","India","Business Services","50 - 99","$50M - $100M","40s","","remunance.com","www.factors.ai/versus/leadfeeder","TD_Search_India_Deanon_Competition","Paid Search"
"Fortinet, Inc.","India","Software and Technology","5,000 - 9,999","$2.5B - $5B","38s","","fortinet.com","www.factors.ai","$none","Direct"
"Daytona Technologies","India","Financial Services","10 - 19","$1M - $5M","38s","","daytonatec.com","www.factors.ai","$none","Organic Search"
"Prophecy","United States","Software and Technology","50 - 99","$1M - $5M","37s","","prophecy.io","www.factors.ai","$none","Organic Search"
"Terex Corporation","India","Manufacturing","10,000+","$2.5B - $5B","37s","","terex.com","www.factors.ai","$none","Direct"
"SecurityPal","United States","Software and Technology","10 - 19","$1M - $5M","35s","","securitypalhq.com","www.factors.ai","$none","Direct"
"TechStak","United States","Software and Technology","10 - 19","$1M - $5M","35s","","techstak.com","www.factors.ai","$none","Direct"
"ESMT Berlin","Germany","Education","100 - 249","$50M - $100M","34s","","esmt.berlin","www.factors.ai","$none","Direct"
"Microsoft Corporation","Canada","Software and Technology","10,000+","$5B+","34s","","microsoft.com","www.factors.ai","$none","Direct"
"TECHEXCEL SOFTWARE SOLUTIONS Pvt Ltd","India","Software and Technology","20 - 49","$1 - $1M","34s","","techexcel.in","www.factors.ai","$none","Direct"
"Prospero Events Group","Czech Republic","Media and Entertainment","20 - 49","$1M - $5M","34s","","prosperoevents.com","www.factors.ai/blog/intent-data-for-pipeline-part-1","$none","Referral"
"Taggbox","India","Software and Technology","20 - 49","$1M - $5M","34s","","taggbox.com","www.factors.ai","$none","Direct"
"Powerweave","India","Software and Technology","100 - 249","$25M - $50M","33s","","powerweave.com","www.factors.ai/blog/lead-generation-vs-demand-generation","$none","Direct"
"JMD Railtech","India","Construction","50 - 99","$100M - $250M","33s","","jmdr.com","www.factors.ai/blog","$none","Direct"
"American Medical Programs Inc","India","Business Services","100 - 249","$10M - $25M","33s","","cyberfinder.com","www.factors.ai","$none","Organic Search"
"Strac","United States","Aerospace and Defense","10 - 19","$1M - $5M","33s","","strac.io","www.factors.ai","$none","Direct"
"Nimble Approach","United Kingdom","Software and Technology","20 - 49","$10M - $25M","31s","","nimbleapproach.com","www.factors.ai/privacy-policy","$none","Direct"
"TechnoRUCS","India","Software and Technology","10 - 19","$1M - $5M","31s","","technorucs.com","app.factors.ai","$none","Direct"
"Ostrich Cyber - Risk","United States","Software and Technology","20 - 49","$1M - $5M","30s","","ostrichcyber-risk.com","www.factors.ai/versus/leadfeeder","$none","Direct"
"Machakos University","Kenya","Education","1,000 - 4,999","$25M - $50M","28s","","mksu.ac.ke","www.factors.ai/blog/stages-of-the-customer-journey","$none","Direct"
"Kahua","United States","Software and Technology","50 - 99","$5M - $10M","28s","","kahua.com","www.factors.ai/blog/what-is-heap-analytics-heap-io-overview","$none","Organic Search"
"COGENT Infotech","India","Business Services","500 - 999","$50M - $100M","27s","","cogentinfo.com","www.factors.ai","$none","Direct"
"Optima Partners","United Kingdom","Business Services","20 - 49","$5M - $10M","27s","","optimapartners.co.uk","www.factors.ai","$none","Direct"
"Compass IT Solutions & Services Pvt Ltd","India","Business Services","20 - 49","$1M - $5M","27s","","citss.in","www.factors.ai","$none","Direct"
"Mailsac","India","Education","1,000 - 4,999","$500M - $1B","26s","","mailsac.com","www.factors.ai","$none","Referral"
"Oracle Corporation","India","Software and Technology","10,000+","$5B+","26s","","oracle.com","app.factors.ai/accounts/segments/afaea524-b104-4a1f-b123-074f778bcd7a","$none","Direct"
"Bowman & Brooke","United States","Business Services","250 - 499","$100M - $250M","25s","","bowmanandbrooke.com","www.factors.ai/blog/amplitude-vs-google-analytics","$none","Referral"
"Envision Enterprise Solutions Pvt Ltd","India","Business Services","100 - 249","$50M - $100M","25s","","envisionesl.com","www.factors.ai","$none","Direct"
"Konnect Insights","India","Software and Technology","20 - 49","$1M - $5M","25s","","konnectinsights.com","www.factors.ai","$none","Direct"
"BITZER","Australia","Manufacturing","100 - 249","$50M - $100M","25s","","bitzer.com.au","app.factors.ai","$none","Direct"
"TETRASOFT","India","Software and Technology","10 - 19","$5M - $10M","25s","","tetrasoftbd.com","www.factors.ai/blog/sales-territory","$none","Organic Search"
"Indra Capital","India","Software and Technology","20 - 49","$1M - $5M","25s","","indracapital.io","www.factors.ai/product/journeys","$none","Direct"
"EC-Council","India","Education","1,000 - 4,999","$100M - $250M","25s","","eccouncil.org","www.factors.ai","$none","Direct"
"Securden","India","Software and Technology","50 - 99","$10M - $25M","25s","","securden.com","app.factors.ai/profiles/people","$none","Direct"
"SAPPHIRE INFO TECH VENTURES PVT LTD","India","Business Services","20 - 49","$1M - $5M","25s","","sapphireinfotech.co.in","www.factors.ai","$none","Organic Search"
"Ernst & Young ","India","Financial Services","10,000+","$5B+","24s","","ey.com","www.factors.ai/blog/leadfeeder-vs-albacross","$none","Direct"
"Redcentric","India","Software and Technology","250 - 499","$100M - $250M","24s","","redcentricplc.com","www.factors.ai","$none","Direct"
"Esparkbiz","India","Consumer Goods and Services","100 - 249","$5M - $10M","24s","","esparkbiztechnologies.com","www.factors.ai","$none","Direct"
"Limelight Software","Canada","Software and Technology","20 - 49","$5M - $10M","24s","","golimelight.com","www.factors.ai","$none","Direct"
"Twilio, Inc.","India","Software and Technology","5,000 - 9,999","$2.5B - $5B","24s","","twilio.com","app.factors.ai/attribution","$none","Direct"
"Kantar","India","Business Services","10,000+","$5B+","24s","","kantar.com","www.factors.ai/versus/leadfeeder","TD_Search_India_Deanon_Competition","Paid Search"
"EASi","India","Business Services","1,000 - 4,999","$250M - $500M","24s","","easi.com","www.factors.ai","$none","Direct"
"Spirogyra Software Pvt Ltd","India","Business Services","10 - 19","$1M - $5M","23s","","protektor.in","www.factors.ai/versus/leadfeeder","$none","Organic Search"
"Nordcloud","Poland","Software and Technology","500 - 999","$100M - $250M","23s","","nordcloud.com","www.factors.ai/blog/visitor-identification-software","$none","Referral"
"WebEngage","India","Software and Technology","100 - 249","$50M - $100M","23s","","webengage.com","app.factors.ai","$none","Direct"
"Hitachi Energy","India","Manufacturing","10,000+","$500M - $1B","23s","","hitachienergy.com","www.factors.ai","$none","Referral"
"Ovvio","United Kingdom","Retail and Distribution","50 - 99","$5M - $10M","23s","","ovvio.co","app.factors.ai/login","$none","Direct"
"Quest Global","India","Software and Technology","10,000+","$1B - $2.5B","23s","","quest-global.com","www.factors.ai","$none","Direct"
"Outpost VFX","India","Media and Entertainment","50 - 99","$10M - $25M","23s","","outpost-vfx.com","www.factors.ai","$none","Direct"
"Cisco Systems, Inc.","India","Software and Technology","10,000+","$5B+","23s","","cisco.com","www.factors.ai/product/account-intelligence","$none","Organic Search"
"Zycus","India","Software and Technology","1,000 - 4,999","$250M - $500M","23s","","zycus.com","app.factors.ai","$none","Direct"
