Name,Engagement Level,Engagement Score,Top Engagement Signals,Company ID,Hubspot Company URL,Hubspot Company Company Name,Company name,Company domain
tup.edu.ph,-,-,-,-,-,"Technological University Of The Philippines","Technological University Of The Philippines","tup.edu.ph"
cisco.com,"Hot","18","Website Paid Search 9.00",-,"https://app.hubspot.com/contacts/6188127/company/8132225619","Cisco Systems, Inc.","Cisco Systems, Inc.","cisco.com"
pactima.com,-,-,-,"pactima.com",-,-,"Pactima","pactima.com"
cure.fit,-,-,-,-,-,"Cure.Fit","Cure.Fit","cure.fit"
g2i.co,-,-,-,"g2i.co","https://app.hubspot.com/contacts/6188127/company/18827630434","G2i","G2i","g2i.co"
softnetinfosys.com,-,-,-,"softnetinfosys.com",-,-,"SOFTNET MEGA TRENDS PVT LTD","softnetinfosys.com"
satyamfashion.ac.in,-,-,-,"satyamfashion.ac.in",-,-,"Satyam Fashion Institute","satyamfashion.ac.in"
ni.com,-,-,-,"ni.com",-,-,"National Instruments Corporation","ni.com"
healthasyst.com,"Ice","0","",-,-,"HEALTHASYST","HealthAsyst","healthasyst.com"
disprz.com,"Hot","8.666667",-,-,-,"Disprz","Disprz","disprz.com"
galaxyweblinks.com,-,-,-,"galaxyweblinks.com",-,-,"Galaxy Weblinks","galaxyweblinks.com"
cybersafe.co.in,-,-,-,"cybersafe.co.in","https://app.hubspot.com/contacts/6188127/company/18876851760","Cyber Safe Bangalore","Cyber Safe Bangalore","cybersafe.co.in"
indraneelam.com,-,-,-,"indraneelam.com",-,-,"Indraneelam","indraneelam.com"
usam.in,"Ice","0","",-,-,-,"USAM Technology Solutions Pvt Ltd","usam.in"
hendersonproducts.com,-,-,-,"hendersonproducts.com",-,-,"Henderson Products","hendersonproducts.com"
lendingkart.com,-,-,-,"lendingkart.com",-,-,"Lendingkart","lendingkart.com"
squadcast.com,"Hot","24","Website Paid Search 8.00",-,"https://app.hubspot.com/contacts/6188127/company/7185373096","Squadcast","Squadcast","squadcast.com"
surveysparrow.com,-,"6",-,-,"https://app.hubspot.com/contacts/6188127/company/16326730615","SurveySparrow Inc","SurveySparrow","surveysparrow.com"
digivive.com,-,-,-,"digivive.com",-,-,"Digivive","digivive.com"
ibeehosting.com,-,-,-,"ibeehosting.com",-,-,"IBEE Hosting","ibeehosting.com"
myselfusa.com,-,-,-,"myselfusa.com",-,-,"MySelF Ltd.","myselfusa.com"
grinfra.com,-,-,-,"grinfra.com",-,-,"G R Infraprojects","grinfra.com"
pesl.co.in,-,-,-,"pesl.co.in",-,-,"Pastiche Energy Solutions","pesl.co.in"
istct.edu.ec,-,-,-,"istct.edu.ec",-,-,"Istct","istct.edu.ec"
securitypalhq.com,"Hot","18.666667","Website Paid Search 5.00",-,"https://app.hubspot.com/contacts/6188127/company/17237657671","SecurityPal","SecurityPal","securitypalhq.com"
globallogic.com,-,-,-,-,-,-,"GlobalLogic","globallogic.com"
iiht.com,-,-,-,"iiht.com",-,-,"IIHT","iiht.com"
zapier.com,-,-,-,-,"https://app.hubspot.com/contacts/6188127/company/5285660355","Zapier","Zapier","zapier.com"
maricopa.edu,-,-,-,"maricopa.edu",-,-,"Maricopa Community Colleges","maricopa.edu"
secretrecipe.com.my,-,-,-,"secretrecipe.com.my",-,-,"Secret Recipe Cakes & Cafe Sdn Bhd","secretrecipe.com.my"
bharukaconstruction.in,-,-,-,"bharukaconstruction.in",-,-,"Bharuka Construction","bharukaconstruction.in"
operationhomefront.org,-,-,-,"operationhomefront.org",-,-,"Operation Homefront","operationhomefront.org"
washington.edu,"Hot","2","Website Paid Search 1.00",-,-,"University Of Washington","University Of Washington","washington.edu"
staffdomain.com,-,-,-,"staffdomain.com",-,-,"Staff Domain","staffdomain.com"
convergeict.com,-,-,-,"convergeict.com",-,-,"Converge ICT Solutions","convergeict.com"
wecode4u.com,-,-,-,"wecode4u.com",-,-,"WeCode4u","wecode4u.com"
homecarepartnersofnebraska.com,-,-,-,"homecarepartnersofnebraska.com",-,-,"Home Care Partners Of Nebraska","homecarepartnersofnebraska.com"
pitt.edu,"Hot","1.333333","Website Paid Search 1.00",-,-,-,"University Of Pittsburgh","pitt.edu"
sentinelone.com,"Hot","3.333333",-,-,-,"SentinelOne","SentinelOne","sentinelone.com"
slps.org.in,-,-,-,-,-,"Sandlia Lions Public School","Sandlia Lions Public School","slps.org.in"
mii.co.id,-,-,-,-,-,-,"PT Mitra Integrasi Informatika","mii.co.id"
nbcuniversal.com,-,-,-,-,-,-,"NBCUniversal Media, LLC","nbcuniversal.com"
coldwellbankerhomes.com,"Hot","0.666667",-,-,-,-,"Coldwell Banker","coldwellbankerhomes.com"
cloudquery.io,"Hot","14","Website Paid Search 4.00",-,-,"CloudQuery","CloudQuery","cloudquery.io"
lavercup.com,-,-,-,"lavercup.com",-,-,"Laver Cup","lavercup.com"
jottohq.com,-,-,-,"jottohq.com",-,-,"Jotto","jottohq.com"
autodesk.com,"Hot","4.666667",-,-,"https://app.hubspot.com/contacts/6188127/company/15999281069","Autodesk, Inc.","Autodesk, Inc.","autodesk.com"
freightpop.com,-,-,-,"freightpop.com",-,-,"FreightPOP","freightpop.com"
uticak12.org,-,-,-,"uticak12.org",-,-,"Utica Community Schools","uticak12.org"
eunetworks.com,-,-,-,"eunetworks.com","https://app.hubspot.com/contacts/6188127/company/19034866052","euNetworks",-,-
benefitfocus.com,-,-,-,"benefitfocus.com","https://app.hubspot.com/contacts/6188127/company/19034603663","Benefitfocus.com Inc",-,-
scribehow.com,-,-,-,"scribehow.com","https://app.hubspot.com/contacts/6188127/company/19034782854","Scribe",-,-
becagrafic.com,-,-,-,"becagrafic.com","https://app.hubspot.com/contacts/6188127/company/19034746037","Beca Grafic",-,-
currance.com,-,-,-,"currance.com","https://app.hubspot.com/contacts/6188127/company/19034662828","Currance Inc",-,-
atomicrevenue.com,-,-,-,"atomicrevenue.com","https://app.hubspot.com/contacts/6188127/company/19034713406","Atomic Revenue",-,-
truora.com,-,-,-,"truora.com","https://app.hubspot.com/contacts/6188127/company/19034720778","TRUORA",-,-
mabuhayenergy.com,-,-,-,"mabuhayenergy.com","https://app.hubspot.com/contacts/6188127/company/19034897325","Mabuhay Energy",-,-
ritek.no,-,-,-,"ritek.no","https://app.hubspot.com/contacts/6188127/company/19034767779","Ritek AS",-,-
buildwithrobots.com,-,-,-,"buildwithrobots.com","https://app.hubspot.com/contacts/6188127/company/19034662831","Build With Robots",-,-
thisiscsg.com,-,-,-,"thisiscsg.com","https://app.hubspot.com/contacts/6188127/company/19034662830","Connected Solutions Group",-,-
adplist.org,"Ice","0",-,-,"https://app.hubspot.com/contacts/6188127/company/19034588811","Adplist",-,-
redefgroup.com,-,-,-,"redefgroup.com","https://app.hubspot.com/contacts/6188127/company/19034846215","redefgroup.com",-,-
n5now.com,-,-,-,"n5now.com","https://app.hubspot.com/contacts/6188127/company/19034651999","N5 Now",-,-
kumo.ai,-,-,-,"kumo.ai","https://app.hubspot.com/contacts/6188127/company/19034841210","kumo.ai",-,-
city.edu.my,-,-,-,"city.edu.my","https://app.hubspot.com/contacts/6188127/company/19034692665","City University of Malaysia",-,-
tixana.com.au,-,-,-,"tixana.com.au","https://app.hubspot.com/contacts/6188127/company/19034878131","Tixana Pty Ltd",-,-
costsegauthority.com,-,-,-,"costsegauthority.com","https://app.hubspot.com/contacts/6188127/company/19034767778","Cost Segregation Authority",-,-
italianconverter.it,-,-,-,"italianconverter.it","https://app.hubspot.com/contacts/6188127/company/19034828472","Italian Converter",-,-
jmaircraftpainting.com,-,-,-,"jmaircraftpainting.com","https://app.hubspot.com/contacts/6188127/company/19034846216","Jim Miller Aircraft Painting",-,-
ismobile.com,-,-,-,"ismobile.com","https://app.hubspot.com/contacts/6188127/company/19034631755","isMobile",-,-
ubase.co.kr,-,-,-,"ubase.co.kr","https://app.hubspot.com/contacts/6188127/company/19034870321","UBASE INC",-,-
kiteinsights.com,-,-,-,"kiteinsights.com","https://app.hubspot.com/contacts/6188127/company/19034812951","Kite Insights",-,-
